City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ancud,-41.87,-73.82,59.0,66,75,11.41,CL,1603908709
1,Hithadhoo,-0.6,73.08,83.64,72,20,11.14,MV,1603908672
2,Busselton,-33.65,115.33,55.99,49,0,12.28,AU,1603908710
3,Tuktoyaktuk,69.45,-133.04,19.4,92,90,19.46,CA,1603908680
4,Nikolskoye,59.7,30.79,46.99,87,20,6.71,RU,1603908710
5,Rikitea,-23.12,-134.97,74.71,83,97,13.96,PF,1603908710
6,Mataura,-46.19,168.86,48.0,89,93,3.0,NZ,1603908711
7,Kalengwa,-13.47,25.0,74.59,43,71,3.36,ZM,1603908711
8,Ushuaia,-54.8,-68.3,46.4,52,40,20.8,AR,1603908419
9,Puerto Ayora,-0.74,-90.35,73.4,78,75,5.82,EC,1603908660
10,Mahébourg,-20.41,57.7,73.0,73,70,5.01,MU,1603908711
11,Hasaki,35.73,140.83,55.4,100,75,5.82,JP,1603908711
12,Barrow,71.29,-156.79,26.6,53,90,16.11,US,1603908711
13,Fairbanks,64.84,-147.72,14.0,92,40,2.51,US,1603908712
14,Punta Arenas,-53.15,-70.92,51.01,43,40,34.45,CL,1603908712
15,Øksfjord,70.24,22.35,35.6,79,0,9.17,NO,1603908712
16,Boralday,43.36,76.86,37.4,59,90,2.24,KZ,1603908712
17,Cape Town,-33.93,18.42,64.0,72,40,20.8,ZA,1603908448
18,Jevnaker,60.24,10.38,46.0,85,54,15.99,NO,1603908713
19,Dobrinka,52.17,40.47,39.78,66,0,9.82,RU,1603908713
20,Guane,22.2,-84.09,85.78,71,82,13.49,CU,1603908713
21,Codrington,-38.27,141.97,45.21,91,25,5.03,AU,1603908711
22,Bredasdorp,-34.53,20.04,66.2,55,97,10.29,ZA,1603908714
23,Atambua,-9.11,124.89,74.95,84,55,1.57,ID,1603908714
24,Mehamn,71.04,27.85,35.6,86,40,9.17,NO,1603908715
25,Hilo,19.73,-155.09,78.01,83,20,2.57,US,1603908715
26,Avarua,-21.21,-159.78,71.6,83,44,4.7,CK,1603908715
27,Saint Paul Harbor,57.79,-152.41,35.6,74,1,3.36,US,1603908715
28,Bambous Virieux,-20.34,57.76,73.0,73,65,5.01,MU,1603908715
29,Villaviciosa,43.48,-5.44,62.01,71,76,2.55,ES,1603908715
30,Tasiilaq,65.61,-37.64,35.6,37,75,17.22,GL,1603908715
31,Lerwick,60.15,-1.15,48.2,87,20,5.82,GB,1603908715
32,Chokurdakh,70.63,147.92,-3.98,91,85,7.56,RU,1603908716
33,Traralgon,-38.18,146.53,55.0,96,82,1.28,AU,1603908716
34,Teahupoo,-17.83,-149.27,77.0,88,90,14.99,PF,1603908717
35,Saint George,37.1,-113.58,60.01,20,1,3.36,US,1603908470
36,Albany,42.6,-73.97,48.99,87,100,1.1,US,1603908606
37,Hermanus,-34.42,19.23,64.0,63,89,13.94,ZA,1603908717
38,Broome,42.25,-75.83,51.01,87,90,8.05,US,1603908717
39,Hong Kong,22.29,114.16,75.99,80,100,1.99,HK,1603908588
40,Kallífytos,41.17,24.22,68.0,77,75,5.82,GR,1603908717
41,Yellowknife,62.46,-114.35,21.2,92,90,2.24,CA,1603908717
42,George Town,5.41,100.34,80.6,83,20,3.36,MY,1603908583
43,General Higinio Morínigo,-25.95,-55.92,91.47,25,0,3.02,PY,1603908718
44,Zonguldak,41.25,31.83,57.36,93,77,1.92,TR,1603908718
45,São Félix do Xingu,-6.64,-51.99,91.06,49,95,1.52,BR,1603908718
46,Ribeira Grande,38.52,-28.7,68.0,72,75,12.75,PT,1603908719
47,Guerrero Negro,27.98,-114.06,70.29,22,0,0.34,MX,1603908719
48,Sokol,59.46,40.12,45.32,89,98,8.34,RU,1603908719
49,Tacuatí,-23.45,-56.58,98.67,26,0,4.0,PY,1603908719
50,Coyhaique,-45.58,-72.07,50.0,46,90,6.93,CL,1603908719
51,Nuevo Progreso,23.17,-97.95,68.0,65,50,1.99,MX,1603908719
52,Kahului,20.89,-156.47,77.0,83,20,6.93,US,1603908719
53,Arraial do Cabo,-22.97,-42.03,93.2,70,0,12.75,BR,1603908659
54,Santa Fe,-31.63,-60.7,75.99,34,18,11.01,AR,1603908498
55,Notre-Dame-du-Lac,47.61,-68.8,32.0,85,84,5.82,CA,1603908719
56,Vaini,-21.2,-175.2,69.8,83,20,9.17,TO,1603908719
57,Mackay,-21.15,149.2,68.0,94,0,6.93,AU,1603908719
58,Bata,1.86,9.77,80.6,88,40,6.93,GQ,1603908720
59,Jamestown,42.1,-79.24,48.99,93,90,10.29,US,1603908720
60,Tiarei,-17.53,-149.33,77.0,88,90,14.99,PF,1603908720
61,Bor,56.36,44.07,39.2,77,0,13.42,RU,1603908720
62,Severo-Kuril'sk,50.68,156.12,41.68,84,22,3.53,RU,1603908721
63,Butaritari,3.07,172.79,80.49,72,51,4.7,KI,1603908721
64,Lebu,-37.62,-73.65,54.68,61,0,15.61,CL,1603908721
65,Green River,41.53,-109.47,41.0,52,1,10.29,US,1603908721
66,Torbay,47.67,-52.73,39.0,93,90,13.87,CA,1603908682
67,Ilo,-17.64,-71.34,69.8,73,90,8.05,PE,1603908721
68,Dudinka,69.41,86.18,-1.43,83,0,7.83,RU,1603908722
69,Castro,-24.79,-50.01,81.45,32,0,8.41,BR,1603908722
70,Noumea,-22.28,166.46,69.8,73,0,4.7,NC,1603908722
71,Lebanon,36.21,-86.29,64.0,93,90,3.36,US,1603908722
72,Formby,53.55,-3.07,48.0,77,100,5.01,GB,1603908722
73,Ponta do Sol,32.67,-17.1,69.8,68,40,9.17,PT,1603908722
74,Sokoni,-6.43,39.55,78.8,78,40,6.93,TZ,1603908723
75,Kaitangata,-46.28,169.85,51.01,85,94,11.99,NZ,1603908723
76,Anadyr,64.75,177.48,8.6,84,0,8.95,RU,1603908483
77,Norman Wells,65.28,-126.83,15.8,92,75,4.12,CA,1603908723
78,Waverly,42.74,-84.62,51.01,45,1,16.11,US,1603908723
79,Klaksvík,62.23,-6.59,44.6,93,94,12.75,FO,1603908723
80,Bethel,41.37,-73.41,51.01,100,90,3.36,US,1603908539
81,Airai,-8.93,125.41,60.31,82,69,2.35,TL,1603908723
82,Cairns,-16.92,145.77,73.4,88,43,1.12,AU,1603908723
83,Gemeente Voorst,52.17,6.13,51.01,93,100,5.01,NL,1603908724
84,Longyearbyen,78.22,15.64,30.2,80,75,8.05,SJ,1603908538
85,Saskylakh,71.92,114.08,5.59,91,100,14.23,RU,1603908724
86,Dikson,73.51,80.55,3.79,93,25,22.06,RU,1603908724
87,Marzuq,14.4,46.47,66.74,24,0,1.88,YE,1603908724
88,Grindavik,63.84,-22.43,42.8,56,0,20.8,IS,1603908682
89,Port Alfred,-33.59,26.89,64.17,89,63,0.63,ZA,1603908659
90,San Patricio,28.02,-97.52,57.99,66,40,20.8,US,1603908724
91,Vikeså,58.64,6.09,46.0,93,100,9.08,NO,1603908724
92,Muyezerskiy,63.93,31.65,43.74,84,88,9.6,RU,1603908724
93,Boyolangu,-8.12,111.89,76.14,88,79,1.77,ID,1603908725
94,Mayo,38.89,-76.51,71.01,88,20,4.7,US,1603908725
95,Wau,7.7,28.0,80.38,63,6,4.07,SS,1603908725
96,Barth,54.36,12.72,50.0,81,75,6.93,DE,1603908725
97,Sørland,67.67,12.69,44.6,87,75,6.93,NO,1603908725
98,Comodoro Rivadavia,-45.87,-67.5,60.8,36,40,9.17,AR,1603908456
99,Henties Bay,-22.12,14.28,59.0,87,1,5.99,NA,1603908677
100,Araouane,18.9,-3.53,92.68,13,6,8.59,ML,1603908725
101,Corralillo,22.98,-80.59,83.44,78,15,18.1,CU,1603908725
102,Alyangula,-13.85,136.42,73.4,100,35,3.06,AU,1603908725
103,Nuuk,64.18,-51.72,23.0,67,75,5.82,GL,1603908725
104,Alta Floresta,-9.88,-56.09,93.2,49,40,9.17,BR,1603908725
105,Hobart,-42.88,147.33,50.0,87,90,3.09,AU,1603908544
106,Margate,51.38,1.39,51.01,82,100,4.0,GB,1603908725
107,Millinocket,45.66,-68.71,33.8,55,90,3.36,US,1603908627
108,Rock Springs,41.59,-109.2,41.0,52,1,10.29,US,1603908726
109,Yulara,-25.24,130.99,62.6,21,0,2.24,AU,1603908726
110,Chui,-33.7,-53.46,68.88,85,96,8.14,UY,1603908726
111,Petrovac,44.38,21.42,57.0,78,47,1.99,RS,1603908726
112,Berdigestyakh,62.1,126.7,3.36,91,100,5.35,RU,1603908726
113,Belmonte,-15.86,-38.88,82.4,69,75,20.8,BR,1603908724
114,Sapa,5.15,120.32,82.02,82,100,6.73,PH,1603908726
115,Chepareria,1.31,35.2,66.2,76,78,3.65,KE,1603908726
116,São José da Coroa Grande,-8.9,-35.15,80.83,68,78,13.06,BR,1603908726
117,Thompson,55.74,-97.86,12.2,66,75,8.05,CA,1603908673
